id,lemma
1540,bag and baggage
1541,in the bag
1542,bagel
1543,bagful
1544,baggage
1545,bag lady
1546,bag lunch
1547,bag of bones
1548,bagpipe
1549,baguette
1550,bail
1551,bailiff
1552,bailout
1553,bairn
1554,bait
1555,bait and switch
1556,baked beans
1557,baker
1558,baker's dozen
1559,bakery
1560,bake sale
1561,baking powder
1562,baking sheet
1563,baking soda
1564,baking tray
1565,balaclava
1566,balance
1567,in the balance
1568,on balance
1569,balance beam
1570,balance of payments
1571,balance of power
1572,balance of trade
1573,balance sheet
1574,balcony
1575,baldness
1576,bald eagle
1577,balderdash
1578,bale
1579,balk
1581,carry the ball
1582,drop the ball
1583,get set start the ball rolling
1584,get/set/start the ball rolling
1585,keep the ball rolling
1586,keep your eye on the ball
1587,on the ball
1588,play ball
1589,the ball is in your court
1590,have a ball
1591,ballad
1592,ball and chain
1593,ballast
1594,ball bearing
1595,ball boy
1596,ballerina
1597,ballet
1598,ball game
1599,ball girl
1600,ballistic missile
1601,ballistics
1602,ball of fire
1603,ball of wax
1604,balloon
1605,go over like a lead balloon
1606,ballooning
1607,balloonist
1608,balloon payment
1609,ballot
1610,ballot box
1611,stuff the ballot box
1612,balloting
1613,ballpark
1614,in the ballpark
1615,ballplayer
1616,ballpoint pen
1617,ballroom
1618,ballroom dancing
1619,balls up
1620,balls-up
1621,ballyhoo
1622,balm
1623,baloney
1624,balsa
1625,balsam
1626,balsam fir
1627,balsamic vinegar
1628,baluster
1629,balustrade
1630,bam
1631,bamboo
1632,ban
1633,banality
1634,banana
1635,banana republic
1636,banana split
1637,band
1638,to beat the band
1639,bandage
1640,bandanna
1641,b and b
1642,B and B
1643,bandit
1644,banditry
1645,bandleader
1646,bandmaster
1647,bandolier
1648,band saw
1649,bandsman
1650,bandstand
1651,bandwagon
1652,bandwidth
1653,bane
1654,bang
1655,bang for the buck
1656,get a bang out of
1657,with a bang
1658,banger
1659,bangle
1660,bangs
1661,banishment
1662,banister
1663,banjo
1664,bank
1665,break the bank
1666,bankbook
1667,bank card
1668,bank draft
1669,banker
1670,banker's card
1671,bank holiday
1672,banking
1673,banknote
1674,bank rate
1675,bankroll
1676,bankrupt
1677,bankruptcy
1678,banner
1679,banns
1680,banquet
1681,banshee
1682,bantam
1683,bantamweight
1684,banter
1685,banyan
1686,bap
1687,baptism
1688,baptist
1689,Baptist
1691,behind bars
1692,tend bar
1693,barb
1694,barbarian
1695,barbarism
1696,barbarity
1697,barbarousness
1698,barbecue
1699,barbed wire
1700,barbell
1701,barber
1702,barbershop
1703,barbershop quartet
1704,barbie
1705,barbiturate
1706,barbwire
1707,bar chart
1708,bar code
1709,bard
1710,bareness
1711,the bare bones
1712,barfly
1713,bargain
1714,drive a hard bargain
1715,in the bargain
1716,bargainer
1717,bargaining
1718,bargain basement
1719,bargaining chip
1720,barge
1721,bargepole
1722,bar graph
1723,barista
1724,baritone
1725,barium
1726,bark
1727,barkeep
1728,barker
1729,barley
1730,barley sugar
1731,barley wine
1732,barmaid
1733,barman
1735,barn
1736,barnacle
1737,barn burner
1738,barn dance
1739,barn owl
1740,barnyard
1741,barometer
1742,baron
1743,baroness
1744,baronet
1745,baronetcy
1746,barony
1747,barracking
1748,barracks
1749,barracuda
1750,barrage
1751,barrel
1752,a barrel of laughs
1753,more fun than a barrel full of monkeys
1754,more fun than a barrel (full) of monkeys
1755,over a barrel
1756,barrel organ
1757,barrenness
1758,barrette
1759,barricade
1760,barrier
1761,barrier island
1762,barrier reef
1763,barrio
1764,barrister
1765,barroom
1766,barrow
1767,bartender
1768,barter
1769,basalt
1771,cover all the bases
1772,off base
1773,touch all the bases
1774,touch base
1775,baseness
1776,baseball
1777,baseball cap
1778,baseboard
1779,base hit
1780,baseline
1781,basement
1782,base on balls
1783,base path
1784,base pay
1785,base runner
1786,bash
1787,have a bash at
1788,bashfulness
1789,basic
1790,BASIC
1791,get go back to the basics
1792,get/go back to (the) basics
1793,basic training
1794,basil
1795,basilica
1796,basilisk
1797,basin
1798,basis
1799,basket
1800,basketful
1801,basketball
1802,basket case
1803,basketry
1804,basketwork
1805,basmati rice
1807,bas relief
1808,bas-relief
1809,bass
1810,basset hound
1811,bassinet
1812,bassist
1813,bassoon
1814,bassoonist
1816,bastion
1817,bat
1818,at bat
1819,go to bat
1820,go to bat for
1821,off the bat
1822,off your own bat
1824,batboy
1825,batch
1826,bath
1827,take a bath
1828,bather
1829,bathing
1830,bathe
1831,bathhouse
1832,bathing costume
1833,bathing suit
1834,bath mat
1835,bathos
1836,bathrobe
1837,bathroom
1838,go to the bathroom
1839,bathtub
1840,bathwater
1842,baton
1843,batsman
1844,battalion
1845,batten
1846,batter
1847,battering
1848,battering ram
1850,batting average
1851,battle
1852,do battle
1853,half the battle
1854,in the heat of the battle
1855,in the heat of (the) battle
1856,battle ax
1857,battle-ax
1858,battle cruiser
1859,battle cry
1860,battle fatigue
1861,battlefield
1862,battleground
1863,battle line
1864,battlement
1865,battleship
1866,bauble
1867,bauxite
1868,bay
1869,at bay
1870,bay leaf
1872,bayou
1873,bay window
1874,bazaar
1875,bazooka
1878,b ball
1879,b-ball
1880,bb gun
1881,BB gun
1882,beach
1883,beach ball
1884,beach buggy
1885,beachcomber
1886,beachfront
1887,beachhead
1888,beach towel
1889,beachwear
1890,beacon
1891,bead
1892,draw a bead on
1893,beading
1894,beadwork
1895,beagle
1896,beak
1897,beaker
1898,the be all and end all
1899,the be-all and end-all
1900,beam
1901,off beam
1902,on the beam
1903,bean
1904,full of beans
1905,not know beans about
1906,spill the beans
1907,beanbag
1908,bean counter
1909,bean curd
1910,beanie
1911,beanpole
1912,bean sprouts
1913,bear
1914,bear claw
1915,beard
1916,bearer
1917,bear hug
1918,bearing
1919,beyond bearing
1920,get find your bearings
1921,get/find your bearings
1922,lose your bearings
1923,bear market
1924,bearskin
1925,beast
1926,beastliness
1927,beast of burden
1928,beat
1929,miss a beat
1930,beater
1931,beatification
1932,beating
1933,beatnik
1934,beau
1935,beaut
1936,beautician
1937,beautification
1938,beauty
1939,beauty contest
1940,beauty mark
1941,the beauty part
1942,beauty queen
1943,beauty salon
1944,beauty spot
1945,beaver
1946,bebop
1947,beck
1948,at someone's beck and call
1949,bed
1950,get up on the wrong side of the bed
1951,make your bed and lie in it
1952,marriage bed
1953,bed and board
1954,bed and breakfast
1955,bed-and-breakfast
1956,bedbug
1957,bedchamber
1958,bedclothes
1959,bedcover
1960,bedding
1961,bedfellow
1962,bedhead
1963,bedlam
1964,bed linens
1965,bed of roses
1966,bedouin
1967,Bedouin
1968,bedpan
1969,bedpost
1970,bed rest
1971,bedrock
1972,bedroll
1973,bedroom
1974,bedsheet
1975,bedside
1976,bedside manner
1977,bedsit
1978,bedsore
